"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Lorenzo Cain","Brewers","133","593","533","151","28","3","16","77","63","45","105","7","16","7","",".283",".344",".437",".781",".335","","102","0.8","4.3","","2.3","6.5","2.8","","84.9","9077"
"Jackie Bradley Jr.","Red Sox","134","535","469","121","27","4","18","67","68","52","121","7","7","4","",".259",".339",".446",".785",".335","","105","0.9","4.7","","4.0","6.9","2.9","","284.8","12984"
"Steven Souza Jr.","Diamondbacks","98","413","357","87","17","2","17","51","53","46","125","5","8","4","",".245",".336",".444",".780",".334","","99","0.9","0.7","","0.3","-4.3","0.9","","182.4","5667"
"Matt Joyce","Athletics","113","492","417","99","23","1","18","64","57","65","109","4","3","2","",".238",".344",".429",".773",".334","","110","0.0","-4.8","","6.0","-10.5","1.2","","483.4","3353"
"Steve Pearce","Blue Jays","78","321","285","72","15","1","14","40","44","28","66","4","1","1","",".253",".327",".458",".785",".334","","106","-0.3","-1.5","","2.3","-7.5","0.6","","600.5","9957"
"Ben Zobrist","Cubs","117","489","420","110","23","3","12","58","55","59","70","3","4","2","",".262",".354",".415",".769",".333","","102","-0.6","-0.9","","0.9","-3.6","1.3","","463.2","7435"
"Ronald Acuna","Braves","103","427","392","110","20","3","14","48","53","27","105","3","21","13","",".280",".329",".450",".779",".332","","103","-1.1","0.0","","0.5","-4.7","0.9","","110.5","sa877503"
"Trey Mancini","Orioles","137","566","518","142","25","3","21","68","75","36","135","5","2","1","",".274",".325",".457",".781",".332","","105","-0.2","-3.2","","3.4","-12.0","1.1","","152.0","15149"
"Mark Trumbo","Orioles","90","372","339","85","15","1","20","48","56","28","93","1","1","1","",".252",".310",".477",".787",".332","","105","-1.0","0.0","","1.3","-10.3","0.4","","261.6","6876"
"Robbie Grossman","Twins","66","261","220","56","11","1","6","31","28","35","55","2","3","2","",".256",".359",".396",".755",".332","","104","0.0","-1.7","","1.2","-7.1","0.3","","654.2","5254"
"Seth Smith","","82","351","303","76","18","1","12","44","39","38","77","5","2","1","",".252",".341",".431",".772",".332","","104","-1.3","-2.7","","0.4","-6.9","0.5","","681.0","7331"
"Colby Rasmus","Orioles","77","315","280","68","12","1","16","40","45","30","95","2","2","1","",".243",".317",".468",".785",".331","","105","0.7","3.1","","2.6","-0.3","1.3","","550.8","9893"
"Oswaldo Arcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".312",".473",".785",".331","","104","0.0","0.0","","0.0","0.0","0.0","","999.0","10306"
"Adam Jones","Orioles","137","593","551","150","25","1","27","76","83","29","107","7","2","1","",".273",".315",".469",".784",".331","","105","1.0","-7.1","","4.4","-4.9","2.0","","147.6","6368"
"Corey Dickerson","Pirates","108","461","424","114","25","2","19","56","63","29","106","3","3","2","",".269",".317",".473",".791",".331","","103","-0.4","-0.7","","1.6","-6.2","1.0","","223.1","10762"
"Stephen Piscotty","Athletics","129","541","474","122","27","2","17","64","64","55","116","6","6","4","",".257",".340",".428",".767",".331","","107","-1.6","0.5","","3.2","-5.9","1.6","","288.1","13367"
"Melky Cabrera","","103","442","407","117","24","2","11","51","54","29","54","2","2","1","",".288",".335",".437",".772",".330","","103","-1.9","-6.6","","-0.2","-11.8","0.3","","349.5","4022"
"Eddie Rosario","Twins","138","576","537","148","30","3","22","71","82","31","117","2","10","7","",".276",".315",".468",".784",".330","","103","0.9","2.2","","3.0","-4.6","1.8","","123.2","12155"
"Aaron Hicks","Yankees","115","466","403","101","20","1","15","58","56","54","89","3","10","6","",".251",".341",".422",".763",".330","","104","0.4","-0.6","","2.8","1.3","2.0","","228.8","5297"
"Ji-Man Choi","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".333",".439",".772",".330","","99","0.0","0.0","","0.0","0.0","0.0","","731.8","5452"
"Ian Happ","Cubs","122","512","456","114","21","2","24","66","69","46","139","4","10","6","",".250",".321",".462",".783",".330","","100","-0.8","1.1","","-0.5","-0.1","1.6","","128.5","17919"
"Jose Bautista","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".340",".421",".761",".330","","103","0.0","0.0","","0.0","0.0","0.0","","416.0","1887"
"Jason Heyward","Cubs","119","474","418","112","21","3","12","53","55","47","72","3","7","4","",".268",".344",".419",".762",".329","","100","0.5","11.0","","0.6","5.0","2.1","","410.0","4940"
"Kole Calhoun","Angels","138","588","517","133","25","2","20","73","70","58","122","6","4","2","",".257",".337",".429",".766",".329","","108","0.5","4.8","","6.1","-2.1","2.4","","282.8","11200"
"Matt Holliday","","79","316","276","68","14","1","12","35","40","32","75","4","1","1","",".248",".332",".434",".766",".329","","102","-1.6","0.0","","-0.7","-9.3","0.1","","682.2","1873"
"Howie Kendrick","Nationals","48","192","173","50","9","1","4","21","22","14","37","2","4","2","",".286",".344",".417",".761",".329","","99","-0.4","-0.1","","-0.5","-3.2","0.2","","506.1","4229"
"Gregory Polanco","Pirates","128","547","491","131","29","2","18","65","68","48","94","3","12","6","",".268",".334",".440",".774",".329","","102","1.1","3.0","","2.3","-3.1","1.7","","149.6","12907"
"Matt Kemp","Dodgers","28","119","110","29","6","0","5","15","18","8","27","1","0","0","",".265",".314",".469",".783",".328","","104","-0.4","-1.5","","0.2","-3.8","0.0","","310.1","5631"
"Jorge Soler","Royals","126","516","449","109","23","1","21","60","64","57","148","5","2","1","",".242",".330",".435",".765",".328","","102","0.0","-2.0","","1.4","-13.3","0.6","","390.0","14221"
"Aaron Altherr","Phillies","108","450","400","100","21","3","17","53","59","39","114","7","8","4","",".250",".324",".449",".773",".328","","100","-0.6","-0.2","","-0.7","-7.3","0.7","","279.1","11270"
"Yasmany Tomas","Diamondbacks","15","61","56","15","3","0","3","7","9","4","15","0","0","0","",".263",".311",".468",".779",".328","","95","-0.2","-0.6","","-0.6","-1.8","0.0","","361.3","17171"
"Brett Gardner","Yankees","127","574","498","128","24","3","15","80","56","61","109","6","14","6","",".258",".344",".411",".755",".328","","103","2.0","1.7","","3.9","-7.8","1.6","","178.3","9927"
"Scott Schebler","Reds","112","454","408","101","19","3","21","52","63","33","106","9","5","3","",".247",".314",".462",".776",".326","","98","0.4","-0.8","","-0.9","-6.1","0.8","","289.8","12225"
"Lonnie Chisenhall","Indians","95","377","341","91","21","2","12","45","48","28","77","3","4","2","",".266",".325",".441",".766",".326","","100","0.5","-0.8","","0.3","-5.6","0.8","","390.5","7571"
"Hunter Pence","Giants","121","493","444","118","20","4","16","54","62","40","102","2","3","2","",".265",".327",".434",".761",".325","","102","0.2","0.5","","1.3","-5.6","1.2","","432.9","8252"
"Jay Bruce","Mets","128","537","482","115","25","2","26","64","77","47","121","3","2","1","",".239",".308",".464",".772",".325","","102","-0.7","-3.1","","0.9","-9.6","0.9","","161.3","9892"
"Mitch Haniger","Mariners","129","538","479","121","25","2","19","64","65","45","120","8","7","4","",".253",".324",".433",".758",".325","","105","-0.8","1.8","","2.7","-4.5","1.7","","216.1","14274"
"Eloy Jimenez","White Sox","20","86","79","21","4","0","3","10","11","5","19","1","1","1","",".268",".315",".451",".766",".324","","102","0.0","0.0","","0.1","-1.5","0.2","","404.3","sa830373"
"LaMonte Wade","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".271",".347",".397",".744",".323","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","sa856280"
"Franklin Gutierrez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".317",".438",".755",".323","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","3255"
"Andrew Toles","Dodgers","58","241","222","61","13","1","7","28","28","13","45","2","6","3","",".276",".321",".439",".760",".323","","101","0.2","2.2","","0.4","-0.6","0.8","","506.3","13414"
"Odubel Herrera","Phillies","142","622","561","154","31","3","15","75","65","47","133","6","13","7","",".274",".335",".420",".755",".323","","97","0.4","2.4","","-2.4","4.7","2.2","","212.3","11476"
"Nick Delmonico","White Sox","121","502","443","109","21","2","18","58","60","49","106","4","4","2","",".246",".325",".428",".753",".323","","101","-0.3","0.1","","0.3","-9.0","0.9","","441.6","13157"
"Randal Grichuk","Blue Jays","119","481","442","106","25","3","25","60","72","30","144","4","5","3","",".240",".291",".482",".774",".323","","99","0.8","3.8","","0.1","-1.7","1.5","","288.9","10243"
"Brandon Guyer","Indians","40","167","146","37","8","1","4","20","18","12","33","7","2","1","",".255",".338",".400",".738",".322","","97","-0.1","-0.3","","-0.6","-2.3","0.3","","709.3","2636"
"John Jaso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".337",".405",".742",".322","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","5887"
"Byron Buxton","Twins","135","570","515","132","23","6","20","73","70","43","159","5","21","9","",".256",".316",".441",".758",".322","","97","3.1","6.9","","1.2","9.1","3.0","","50.2","14161"
"Austin Hays","Orioles","23","92","86","23","4","0","3","11","12","4","17","1","1","1","",".274",".308",".450",".758",".322","","98","0.0","-2.0","","-0.3","-2.9","0.0","","344.2","19363"
"Anthony Santander","Orioles","51","204","185","48","10","0","8","25","26","13","46","2","3","2","",".259",".314",".442",".756",".321","","98","0.0","0.1","","-0.6","-2.4","0.4","","660.2","14551"
"Adam Frazier","Pirates","95","425","381","108","19","4","5","51","35","34","55","4","11","7","",".283",".346",".391",".737",".320","","96","0.0","-1.3","","-2.0","-5.4","0.6","","413.2","15223"
"Stephen Cardullo","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".328",".420",".748",".320","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","11204"
