"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Pablo Sandoval","Giants","32","131","120","30","6","0","4","13","16","8","25","1","1","0","",".251",".303",".401",".704",".302","","87","-0.6","-0.4","","-2.8","-2.8","-0.1","","677.7","5409"
"Cory Spangenberg","Padres","18","75","68","17","3","0","2","7","7","5","18","1","1","1","",".256",".314",".384",".698",".302","","87","0.2","-0.4","","-1.1","-1.0","0.0","","398.3","12294"
"Marco Hernandez","Red Sox","8","28","26","7","2","0","0","3","3","1","6","0","1","0","",".273",".309",".392",".702",".301","","82","0.0","-0.1","","-0.6","0.0","0.0","","668.3","13154"
"Aaron Hill","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".314",".378",".692",".301","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","6104"
"Brett Lawrie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".297",".406",".704",".301","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","5247"
"Jose Reyes","Mets","62","266","240","60","11","2","6","29","25","21","41","1","9","4","",".249",".309",".387",".696",".300","","86","0.4","-1.7","","-4.4","-2.4","0.2","","328.7","1736"
"Eric Campbell","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".325",".355",".681",".300","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","6938"
"T.J. Rivera","Mets","25","98","92","25","5","0","2","9","10","4","15","1","1","0","",".274",".311",".384",".695",".300","","86","0.0","-0.1","","-1.8","-1.6","0.0","","643.9","12495"
"Andres Blanco","Giants","5","19","17","4","1","0","0","2","2","1","4","0","0","0","",".249",".309",".377",".685",".298","","84","-0.1","-0.1","","-0.5","0.0","0.0","","999.0","1907"
"Brett Wallace","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".306",".383",".689",".298","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","8434"
"Christian Arroyo","Rays","45","187","173","45","9","0","4","18","19","10","34","2","2","1","",".260",".304",".384",".688",".296","","84","-0.1","0.2","","-3.7","1.2","0.4","","535.4","16434"
"Christian Villanueva","Padres","29","115","105","25","5","0","4","12","13","8","26","1","1","1","",".234",".291",".397",".688",".296","","83","-0.1","-0.6","","-2.6","0.1","0.1","","659.1","11738"
"Hernan Perez","Brewers","45","183","172","44","9","1","5","19","21","8","35","1","6","3","",".258",".292",".398",".691",".295","","76","0.3","-1.0","","-5.3","-0.8","0.0","","384.7","5751"
"Ildemaro Vargas","Diamondbacks","3","13","12","3","1","0","0","1","1","1","1","0","0","0","",".268",".309",".371",".680",".295","","73","0.0","-0.2","","-0.5","0.0","0.0","","999.0","13324"
"Juan Uribe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".300",".384",".684",".294","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","454"
"Colin Walsh","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".326",".327",".652",".293","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","10961"
"Hector Olivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".294",".387",".681",".293","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","17528"
"Tzu-Wei Lin","Red Sox","4","14","13","3","1","0","0","2","1","1","3","0","0","0","",".253",".311",".361",".672",".293","","76","0.0","-0.1","","-0.4","0.1","0.0","","667.3","14678"
"Ramiro Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".307",".371",".678",".293","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","8841"
"David Wright","Mets","3","15","13","3","1","0","0","2","1","1","4","0","0","0","",".222",".304",".365",".669",".292","","81","0.0","0.0","","-0.4","-0.4","0.0","","999.0","3787"
"Jae-Gyun Hwang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".296",".385",".680",".292","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","19369"
"Ty Kelly","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".320",".337",".657",".292","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","7740"
"Rob Segedin","Dodgers","15","59","54","13","3","0","2","6","6","4","14","1","1","0","",".235",".293",".379",".672",".290","","79","0.0","-0.2","","-1.6","-1.2","-0.1","","999.0","11446"
"Mike Olt","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".291",".378",".670",".290","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","10698"
"Taylor Davis","Cubs","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".247",".305",".360",".665",".290","","74","0.0","0.0","","-0.2","0.1","0.0","","999.0","12782"
