"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Erick Aybar","Twins","18","72","66","17","3","0","1","7","7","5","11","1","1","1","",".257",".310",".361",".670",".290","","75","-0.1","-0.3","","-2.2","0.3","0.1","","660.3","4082"
"Bo Bichette","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".297",".377",".674",".290","","77","0.0","0.0","","0.0","0.0","0.0","","641.8","sa917949"
"Ronald Torreyes","Yankees","42","158","147","39","7","1","2","17","16","7","20","1","2","1","",".266",".304",".364",".668",".290","","76","0.1","-0.1","","-4.5","1.2","0.2","","514.2","11400"
"Amed Rosario","Mets","134","536","498","128","21","6","8","49","51","25","111","4","15","9","",".257",".296",".374",".670",".288","","78","-0.6","1.7","","-15.6","8.4","1.0","","242.9","15518"
"Freddy Galvis","Padres","93","387","356","88","16","3","8","38","37","23","70","3","7","4","",".247",".295",".377",".672",".288","","78","0.2","1.1","","-10.8","5.8","0.7","","370.5","6609"
"Nicky Lopez","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".309",".350",".658",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918022"
"Danny Santana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".292",".374",".666",".286","","73","0.0","0.0","","0.0","0.0","0.0","","696.0","10322"
"Matt Reynolds","Nationals","3","13","11","3","1","0","0","1","1","1","3","0","0","0","",".245",".305",".348",".654",".286","","71","0.0","0.0","","-0.5","0.1","0.0","","999.0","13788"
"Franklin Barreto","Athletics","27","111","103","25","4","1","2","11","12","6","31","1","3","2","",".244",".289",".377",".665",".285","","76","0.0","0.0","","-3.3","0.7","0.1","","451.2","15519"
"Mauricio Dubon","Brewers","5","20","18","5","1","0","0","2","2","1","3","0","1","0","",".252",".299",".355",".655",".284","","69","0.0","0.0","","-0.8","0.1","0.0","","670.1","sa738378"
"Kevin Newman","Pirates","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".260",".304",".349",".653",".284","","72","0.0","0.0","","-0.5","0.2","0.0","","999.0","sa827183"
"Ronny Rodriguez","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".282",".382",".664",".284","","72","0.0","0.0","","0.0","0.0","0.0","","687.5","sa595953"
"Elliot Soto","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".318",".326",".644",".284","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa390666"
"J.J. Hardy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".288",".369",".657",".283","","72","0.0","0.0","","0.0","0.0","0.0","","671.0","3797"
"J.T. Riddle","Marlins","82","321","298","77","14","2","5","27","30","16","59","2","3","2","",".258",".297",".361",".658",".283","","73","-0.2","-0.4","","-11.4","3.8","0.3","","672.8","17642"
"Adeiny Hechavarria","Rays","93","361","334","85","13","3","5","33","34","19","60","2","3","2","",".256",".297",".361",".658",".282","","75","-0.4","1.0","","-11.4","5.7","0.7","","543.8","10459"
"Jake Cronenworth","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".310",".326",".636",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857694"
"Ryan Goins","Royals","15","56","51","12","3","0","1","5","5","4","12","0","1","0","",".242",".296",".352",".647",".282","","71","-0.1","-0.3","","-2.1","0.3","0.0","","675.9","9807"
"Ryan Mountcastle","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".280",".381",".660",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874734"
"Nick Gordon","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".298",".352",".649",".282","","70","0.0","0.0","","0.0","0.0","0.0","","678.9","sa828662"
"Nick Ahmed","Diamondbacks","88","343","312","74","15","2","7","32","34","23","67","3","6","4","",".238",".293",".363",".656",".281","","64","0.3","1.7","","-15.7","6.1","0.2","","635.5","12147"
"Erik Gonzalez","Indians","3","13","12","3","1","0","0","1","1","1","4","0","0","0","",".242",".276",".379",".655",".280","","69","0.0","0.0","","-0.5","0.1","0.0","","667.2","13369"
"Jimmy Rollins","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".297",".338",".635",".279","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","971"
"Zach Osborne","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".299",".340",".639",".279","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa577885"
"Cole Tucker","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".299",".339",".638",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828671"
"Elmer Reyes","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".285",".362",".647",".279","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa506274"
"Tommy Edman","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".294",".346",".639",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873704"
"Adrian Sanchez","Nationals","8","32","30","8","2","0","0","3","3","2","6","0","1","0","",".254",".294",".347",".641",".278","","66","0.0","-0.1","","-1.4","0.1","0.0","","999.0","11338"
"Leonardo Reginatto","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".303",".328",".632",".278","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa504970"
"Luis Sardinas","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".296",".345",".641",".278","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","13153"
"Jose Rondon","White Sox","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".250",".290",".350",".640",".278","","70","0.0","0.0","","-0.5","0.1","0.0","","999.0","14140"
"Jorge Mateo","Athletics","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".235",".281",".364",".645",".277","","71","0.0","0.0","","-0.2","0.1","0.0","","571.0","sa657910"
