Name,Points,Value
Brian McCann,193.0,5.263952404209034
Aaron Sanchez,193.0,5.263952404209034
CC Sabathia,191.0,5.079252319850823
Brad Brach,191.0,5.079252319850823
Adam Wainwright,190.0,4.986902277671717
Jhoulys Chacin,190.0,4.986902277671717
Pat Neshek,189.0,4.894552235492611
Nick Williams,189.0,4.894552235492611
Yangervis Solarte,189.0,4.894552235492611
Neil Walker,189.0,4.894552235492611
Jake Odorizzi,189.0,4.894552235492611
Luis Valbuena,189.0,4.894552235492611
Jon Jay,188.0,4.802202193313505
Steven Souza Jr.,188.0,4.802202193313505
Jose Urena,186.0,4.617502108955293
Mike Minor,185.0,4.525152066776187
Eduardo Nunez,184.0,4.432802024597081
Eduardo Escobar,184.0,4.432802024597081
Lewis Brinson,184.0,4.432802024597081
Caleb Smith,184.0,4.432802024597081
Jerad Eickhoff,184.0,4.432802024597081
Nick Pivetta,182.0,4.24810194023887
Sam Dyson,182.0,4.24810194023887
Brad Peacock,181.0,4.155751898059764
Michael Taylor,181.0,4.155751898059764
Matt Strahm,181.0,4.155751898059764
Kyle Barraclough,181.0,4.155751898059764
Russell Martin,180.0,4.063401855880658
Mike Zunino,180.0,4.063401855880658
Martin Prado,180.0,4.063401855880658
Colin Moran,179.0,3.971051813701552
Jaime Garcia,179.0,3.971051813701552
Lance Lynn,178.0,3.8787017715224463
Mike Clevinger,177.0,3.7863517293433406
Brad Boxberger,177.0,3.7863517293433406
Seth Smith,177.0,3.7863517293433406
Logan Forsythe,177.0,3.7863517293433406
Steve Pearce,177.0,3.7863517293433406
Travis d'Arnaud,176.0,3.694001687164235
Matt Duffy,175.0,3.6016516449851284
Chase Headley,175.0,3.6016516449851284
Doug Fister,172.0,3.3246015184478113
Welington Castillo,172.0,3.3246015184478113
Matt Harvey,171.0,3.232251476268705
Francisco Liriano,171.0,3.232251476268705
Tucker Barnhart,170.0,3.1399014340895994
Tyler Mahle,169.0,3.0475513919104937
Zack Wheeler,169.0,3.0475513919104937
Lucas Giolito,169.0,3.0475513919104937
Jordan Zimmermann,169.0,3.0475513919104937
Homer Bailey,168.0,2.9552013497313876
Vince Velasquez,168.0,2.9552013497313876
Austin Hedges,168.0,2.9552013497313876
Brock Stewart,167.0,2.8628513075522815
Martin Perez,167.0,2.8628513075522815
Kirby Yates,167.0,2.8628513075522815
Brad Miller,165.0,2.67815122319407
Sal Romano,165.0,2.67815122319407
Mike Fiers,165.0,2.67815122319407
Freddy Galvis,165.0,2.67815122319407
Bryan Mitchell,164.0,2.5858011810149644
Daniel Mengden,164.0,2.5858011810149644
Matt Boyd,163.0,2.4934511388358587
Erasmo Ramirez,163.0,2.4934511388358587
David Robertson,163.0,2.4934511388358587
Mikie Mahtook,163.0,2.4934511388358587
Dustin Fowler,163.0,2.4934511388358587
James McCann,162.0,2.4011010966567525
Jimmy Nelson,162.0,2.4011010966567525
Dellin Betances,161.0,2.3087510544776464
Andrew Triggs,160.0,2.2164010122985407
Austin Barnes,160.0,2.2164010122985407
Brett Anderson,160.0,2.2164010122985407
Dixon Machado,159.0,2.124050970119435
Derek Dietrich,159.0,2.124050970119435
Austin Jackson,159.0,2.124050970119435
Matt Davidson,159.0,2.124050970119435
Matt Moore,159.0,2.124050970119435
Nathan Karns,159.0,2.124050970119435
Sandy Alcantara,158.0,2.031700927940329
JC Ramirez,158.0,2.031700927940329
